# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
51000 200
153 9.15 0.946861 167.023
154 9.21 0.965226 170.24
155 9.27 0.96983 173.515
156 9.33 0.968447 176.827
157 9.39 0.985262 180.241
158 9.45 0.999521 183.748
159 9.51 1.01661 187.361
160 9.57 1.0238 191.045
161 9.63 1.02881 194.794
162 9.69 1.04174 198.638
163 9.75 1.05016 202.561
164 9.81 1.04735 206.521
165 9.87 1.03926 210.5
166 9.93 1.06674 214.633
167 9.99 1.0482 218.743
168 10.05 1.04963 222.909
169 10.11 1.04144 227.092
170 10.17 1.04715 231.348
171 10.23 1.05528 235.687
172 10.29 1.03287 239.985
173 10.35 1.02839 244.314
174 10.41 1.02695 248.687
175 10.47 1.02631 253.107
176 10.53 1.0056 257.489
177 10.59 1.01525 261.963
178 10.65 1.00097 266.424
179 10.71 0.988193 270.878
180 10.77 0.99674 275.421
181 10.83 0.979261 279.934
182 10.89 0.982448 284.512
183 10.95 0.971414 289.089
184 11.01 0.960351 293.664
185 11.07 0.975845 298.363
186 11.13 0.962928 303.05
187 11.19 0.957385 307.76
188 11.25 0.948085 312.475
189 11.31 0.969925 317.351
190 11.37 0.97129 322.285
191 11.43 0.968834 327.258
192 11.49 0.971349 332.297
193 11.55 0.979558 337.432
194 11.61 0.990379 342.678
195 11.67 0.991396 347.983
196 11.73 0.998629 353.382
197 11.79 0.99391 358.811
198 11.85 1.0158 364.416
199 11.91 1.0132 370.063
200 11.97 1.01753 375.792
53000 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
