# Time-averaged data for fix rdf2_out
# TimeStep Number-of-rows
# Row c_rdf2[1] c_rdf2[2] c_rdf2[3]
240000 100
39 3.08 1.56573 6.75409
40 3.16 1.36276 7.45104
41 3.24 1.18714 8.0893
42 3.32 1.05603 8.68544
43 3.4 0.951022 9.2485
44 3.48 0.87681 9.79233
45 3.56 0.834823 10.3342
46 3.64 0.811304 10.8847
47 3.72 0.766517 11.428
48 3.8 0.739492 11.9749
49 3.88 0.732947 12.54
50 3.96 0.741586 13.1356
51 4.04 0.750723 13.7631
52 4.12 0.755616 14.42
53 4.2 0.771504 15.117
54 4.28 0.791097 15.8592
55 4.36 0.812225 16.65
56 4.44 0.8277 17.4856
57 4.52 0.856216 18.3815
58 4.6 0.889032 19.345
59 4.68 0.914402 20.3707
60 4.76 0.950792 21.474
61 4.84 0.97928 22.6488
62 4.92 1.00998 23.9009
63 5 1.04486 25.2387
64 5.08 1.08223 26.6691
65 5.16 1.10337 28.1736
66 5.24 1.13295 29.7668
67 5.32 1.14169 31.4217
68 5.4 1.14764 33.1356
69 5.48 1.13985 34.8886
70 5.56 1.13627 36.6876
71 5.64 1.12189 38.5153
72 5.72 1.10061 40.3595
73 5.8 1.08154 42.2228
74 5.88 1.07018 44.1178
75 5.96 1.04231 46.0139
76 6.04 1.02815 47.9349
77 6.12 1.0076 49.8677
78 6.2 0.996642 51.8297
79 6.28 0.986265 53.8218
80 6.36 0.97636 55.8444
81 6.44 0.965933 57.8961
82 6.52 0.94479 59.953
83 6.6 0.934527 62.0378
84 6.68 0.930275 64.1638
85 6.76 0.926539 66.3322
86 6.84 0.928951 68.558
87 6.92 0.927335 70.8323
88 7 0.927321 73.1594
89 7.08 0.92829 75.5424
90 7.16 0.940411 78.0115
91 7.24 0.949496 80.5604
92 7.32 0.960789 83.197
93 7.4 0.974094 85.9288
94 7.48 0.98757 88.7586
95 7.56 0.997629 91.6787
96 7.64 1.01236 94.705
97 7.72 1.02082 97.8208
98 7.8 1.03807 101.055
99 7.88 1.04954 104.393
100 7.96 1.05455 107.815
240400 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0.000482671 0.000111111
28 2.2 0.00761957 0.002
29 2.28 0.0427049 0.0133704
30 2.36 0.155606 0.0577593
31 2.44 0.434403 0.190222
32 2.52 1.20362 0.581704
33 2.6 2.11522 1.31406
34 2.68 2.44793 2.21456
35 2.76 2.58339 3.22246
36 2.84 2.43573 4.22865
37 2.92 2.12155 5.15511
38 3 1.81944 5.99378
39 3.08 1.5612 6.7523
40 3.16 1.36181 7.44876
41 3.24 1.19406 8.09074
42 3.32 1.06216 8.69035
43 3.4 0.943891 9.24919
44 3.48 0.878034 9.79378
45 3.56 0.840501 10.3393
46 3.64 0.804018 10.8849
47 3.72 0.766988 11.4285
48 3.8 0.73526 11.9723
49 3.88 0.740921 12.5435
50 3.96 0.745344 13.1421
51 4.04 0.743235 13.7634
52 4.12 0.755829 14.4205
53 4.2 0.769926 15.1161
54 4.28 0.786576 15.854
55 4.36 0.804274 16.637
56 4.44 0.831551 17.4766
57 4.52 0.857189 18.3735
58 4.6 0.889357 19.3373
59 4.68 0.920906 20.3703
60 4.76 0.947728 21.47
61 4.84 0.976918 22.6421
62 4.92 1.01714 23.903
63 5 1.053 25.2513
64 5.08 1.07704 26.6747
65 5.16 1.09959 28.1741
66 5.24 1.13227 29.7664
67 5.32 1.13885 31.4171
68 5.4 1.14971 33.1341
69 5.48 1.14552 34.8959
70 5.56 1.13494 36.6927
71 5.64 1.12202 38.5206
72 5.72 1.10513 40.3724
73 5.8 1.08517 42.242
74 5.88 1.06406 44.1261
75 5.96 1.03957 46.0173
76 6.04 1.02063 47.9242
77 6.12 1.00982 49.8612
78 6.2 0.996172 51.8224
79 6.28 0.984972 53.8118
80 6.36 0.971854 55.8251
81 6.44 0.965907 57.8767
82 6.52 0.952318 59.95
83 6.6 0.93417 62.034
84 6.68 0.929861 64.159
85 6.76 0.929332 66.334
86 6.84 0.924237 68.5485
87 6.92 0.92908 70.8271
88 7 0.927919 73.1556
89 7.08 0.932893 75.5505
90 7.16 0.938422 78.0144
91 7.24 0.954401 80.5765
92 7.32 0.958879 83.2078
93 7.4 0.971499 85.9323
94 7.48 0.986452 88.7589
95 7.56 0.995965 91.6742
96 7.64 1.01301 94.7024
97 7.72 1.02795 97.8399
98 7.8 1.03526 101.066
99 7.88 1.04495 104.389
100 7.96 1.05875 107.824
240500 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0.000321781 7.40741e-05
28 2.2 0.00657375 0.0017037
29 2.28 0.0424962 0.0130185
30 2.36 0.154827 0.0571852
31 2.44 0.452805 0.195259
32 2.52 1.18899 0.581981
33 2.6 2.12897 1.31909
34 2.68 2.458 2.2233
35 2.76 2.55448 3.21993
36 2.84 2.44102 4.2283
37 2.92 2.12057 5.15433
38 3 1.81338 5.9902
39 3.08 1.56501 6.75057
40 3.16 1.36833 7.45037
41 3.24 1.19692 8.09389
42 3.32 1.05603 8.69004
