# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3] c_myrdf[4] c_myrdf[5] c_myrdf[6] c_myrdf[7]
20000 200
169 10.11 1.09163 113.474 1.08246 113.406 1.07672 113.91
170 10.17 1.06697 115.64 1.08431 115.607 1.05943 116.065
171 10.23 1.07494 117.848 1.04553 117.754 1.08367 118.296
172 10.29 1.01721 119.962 1.01644 119.867 1.03553 120.452
173 10.35 1.03969 122.148 1.03494 122.043 1.03325 122.629
174 10.41 1.03903 124.358 1.04128 124.258 1.03216 124.829
175 10.47 1.03552 126.586 1.02064 126.454 1.025 127.039
176 10.53 1.03312 128.834 1.00004 128.63 1.0162 129.255
177 10.59 1.00691 131.05 1.01582 130.866 1.01188 131.486
178 10.65 1.00566 133.289 1.00512 133.104 0.99029 133.695
179 10.71 0.991227 135.521 1.00686 135.37 0.983304 135.914
180 10.77 0.976875 137.745 0.974415 137.589 0.980006 138.149
181 10.83 0.958957 139.952 0.953918 139.785 0.975073 140.398
182 10.89 0.954434 142.174 0.985194 142.078 0.976878 142.677
183 10.95 0.954371 144.42 0.947232 144.307 0.961622 144.944
184 11.01 0.942316 146.662 0.950722 146.569 0.945549 147.199
185 11.07 0.939446 148.922 0.972208 148.908 0.940057 149.464
186 11.13 0.928193 151.178 0.946619 151.209 0.96057 151.804
187 11.19 0.92559 153.453 0.94154 153.523 0.954438 154.155
188 11.25 0.924278 155.749 0.952618 155.89 0.965658 156.558
189 11.31 0.941741 158.114 0.968188 158.32 0.967524 158.992
190 11.37 0.960361 160.55 0.961465 160.76 0.965678 161.448
191 11.43 0.945158 162.974 0.963877 163.232 0.966931 163.932
192 11.49 0.94936 165.434 0.968038 165.74 0.965717 166.439
193 11.55 0.976186 167.99 0.97695 168.298 0.976597 169.002
194 11.61 0.966727 170.548 0.97217 170.87 0.995802 171.641
195 11.67 0.996168 173.21 0.997964 173.538 0.975956 174.255
196 11.73 0.990002 175.884 0.978597 176.18 0.994157 176.946
197 11.79 0.994906 178.598 0.991241 178.885 0.999208 179.677
198 11.85 1.02433 181.422 0.992403 181.62 0.995488 182.426
199 11.91 1.02481 184.275 1.00226 184.41 1.00764 185.237
200 11.97 1.03604 187.188 1.02452 187.292 1.02992 188.14
25000 200
1 0.03 0 0 0 0 0 0
2 0.09 0 0 0 0 0 0
3 0.15 0 0 0 0 0 0
4 0.21 0 0 0 0 0 0
5 0.27 0 0 0 0 0 0
6 0.33 0 0 0 0 0 0
7 0.39 0 0 0 0 0 0
8 0.45 0 0 0 0 0 0
9 0.51 0 0 0 0 0 0
10 0.57 0 0 0 0 0 0
11 0.63 0 0 0 0 0 0
12 0.69 0 0 0 0 0 0
13 0.75 0 0 0 0 0 0
14 0.81 0 0 0 0 0 0
15 0.87 0 0 0 0 0 0
16 0.93 0 0 0 0 0 0
17 0.99 0 0 0 0 0 0
18 1.05 0 0 0 0 0 0
