# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
51000 200
145 8.67 0.938209 143.494
146 8.73 0.938046 146.303
147 8.79 0.932069 149.133
148 8.85 0.930001 151.995
149 8.91 0.929892 154.896
150 8.97 0.951526 157.905
151 9.03 0.93624 160.904
152 9.09 0.933653 163.936
153 9.15 0.960114 167.094
154 9.21 0.960186 170.295
155 9.27 0.962545 173.545
156 9.33 0.988152 176.925
157 9.39 0.983703 180.333
158 9.45 1.00038 183.844
159 9.51 1.01807 187.462
160 9.57 1.02307 191.143
161 9.63 1.02568 194.881
162 9.69 1.02196 198.652
163 9.75 1.04765 202.565
164 9.81 1.04841 206.53
165 9.87 1.05153 210.555
166 9.93 1.04872 214.618
167 9.99 1.0685 218.808
168 10.05 1.05533 222.997
169 10.11 1.04169 227.181
170 10.17 1.0377 231.398
171 10.23 1.03763 235.665
172 10.29 1.03148 239.957
173 10.35 1.03499 244.313
174 10.41 1.02164 248.664
175 10.47 1.01948 253.055
176 10.53 1.00827 257.448
177 10.59 0.990882 261.815
178 10.65 0.998955 266.267
179 10.71 0.992631 270.741
180 10.77 0.996301 275.282
181 10.83 0.982993 279.812
182 10.89 0.970946 284.337
183 10.95 0.977017 288.94
184 11.01 0.969211 293.557
185 11.07 0.973187 298.243
186 11.13 0.962476 302.928
187 11.19 0.970393 307.702
188 11.25 0.971692 312.535
189 11.31 0.969885 317.41
190 11.37 0.97007 322.338
191 11.43 0.981885 327.378
192 11.49 0.975435 332.438
193 11.55 0.989555 337.626
194 11.61 0.98683 342.852
195 11.67 0.988855 348.144
196 11.73 0.986163 353.476
197 11.79 0.992702 358.898
198 11.85 1.0016 364.425
199 11.91 1.01259 370.069
200 11.97 1.01248 375.769
53000 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0 0
38 2.25 0 0
39 2.31 0.00953791 0.002
40 2.37 0.0616156 0.0156
41 2.43 0.25599 0.075
42 2.49 0.692006 0.2436
43 2.55 1.42219 0.607
44 2.61 2.13234 1.1778
45 2.67 2.643 1.9182
46 2.73 2.84975 2.7528
47 2.79 2.84947 3.6244
48 2.85 2.65995 4.4734
49 2.91 2.53577 5.3172
50 2.97 2.17009 6.0694
51 3.03 1.92645 6.7644
52 3.09 1.67965 7.3946
53 3.15 1.48189 7.9724
54 3.21 1.27438 8.4884
55 3.27 1.21662 8.9996
56 3.33 0.996922 9.434
57 3.39 0.924744 9.8516
58 3.45 0.823586 10.2368
59 3.51 0.78369 10.6162
60 3.57 0.700462 10.967
61 3.63 0.647756 11.3024
62 3.69 0.610042 11.6288
63 3.75 0.629042 11.9764
64 3.81 0.592907 12.3146
65 3.87 0.617145 12.6778
66 3.93 0.5734 13.0258
67 3.99 0.555645 13.3734
68 4.05 0.585539 13.7508
69 4.11 0.600205 14.1492
70 4.17 0.621109 14.5736
71 4.23 0.641731 15.0248
72 4.29 0.666219 15.5066
73 4.35 0.714405 16.0378
74 4.41 0.748748 16.61
75 4.47 0.825071 17.2578
76 4.53 0.855941 17.948
77 4.59 0.882511 18.6786
78 4.65 0.988878 19.5188
79 4.71 1.02028 20.4082
80 4.77 1.06099 21.3568
81 4.83 1.10265 22.3676
82 4.89 1.15366 23.4516
83 4.95 1.15868 24.5672
84 5.01 1.22742 25.7778
85 5.07 1.22804 27.0182
86 5.13 1.25209 28.313
87 5.19 1.28245 29.6704
88 5.25 1.30667 31.0856
89 5.31 1.27225 32.4952
90 5.37 1.28493 33.9512
91 5.43 1.26878 35.4212
92 5.49 1.22178 36.8682
93 5.55 1.19071 38.3094
94 5.61 1.18349 39.773
95 5.67 1.14702 41.222
96 5.73 1.09212 42.631
97 5.79 1.05336 44.0186
98 5.85 0.985457 45.3438
99 5.91 0.977499 46.6854
100 5.97 0.941812 48.0044
101 6.03 0.906505 49.2996
102 6.09 0.890241 50.597
103 6.15 0.868649 51.888
104 6.21 0.847589 53.1724
105 6.27 0.868085 54.5134
106 6.33 0.842942 55.8406
107 6.39 0.825566 57.1652
108 6.45 0.835236 58.5306
109 6.51 0.832881 59.9176
110 6.57 0.818918 61.3066
111 6.63 0.861479 62.7946
112 6.69 0.87373 64.3312
113 6.75 0.893343 65.9306
114 6.81 0.923986 67.6144
115 6.87 0.917838 69.3166
116 6.93 0.922892 71.0582
117 6.99 0.982849 72.9452
118 7.05 1.00664 74.9112
119 7.11 1.01157 76.9206
120 7.17 1.03897 79.0194
121 7.23 1.044 81.1638
122 7.29 1.06251 83.3826
123 7.35 1.07124 85.6566
124 7.41 1.09243 88.0136
125 7.47 1.09921 90.4238
126 7.53 1.11489 92.9078
127 7.59 1.10952 95.4194
128 7.65 1.10715 97.9654
129 7.71 1.09709 100.528
130 7.77 1.09572 103.127
131 7.83 1.10083 105.779
132 7.89 1.06526 108.385
133 7.95 1.06382 111.027
134 8.01 1.05564 113.689
135 8.07 1.05516 116.389
136 8.13 1.03033 119.065
137 8.19 1.01627 121.743
138 8.25 1.00648 124.435
139 8.31 0.98986 127.121
140 8.37 0.979425 129.817
141 8.43 0.984799 132.567
142 8.49 0.964573 135.299
143 8.55 0.953798 138.039
144 8.61 0.954077 140.818
145 8.67 0.945725 143.612
146 8.73 0.943923 146.439
147 8.79 0.931081 149.265
148 8.85 0.932666 152.136
149 8.91 0.934059 155.05
150 8.97 0.938685 158.017
151 9.03 0.937862 161.022
152 9.09 0.953796 164.119
153 9.15 0.951967 167.251
154 9.21 0.962406 170.459
155 9.27 0.960412 173.702
156 9.33 0.982363 177.062
157 9.39 0.996345 180.514
158 9.45 0.998153 184.017
159 9.51 1.00423 187.585
160 9.57 1.0144 191.236
161 9.63 1.02184 194.96
162 9.69 1.02364 198.736
163 9.75 1.03721 202.611
164 9.81 1.03001 206.506
165 9.87 1.03873 210.482
166 9.93 1.024 214.45
167 9.99 1.03525 218.509
168 10.05 1.04555 222.659
169 10.11 1.04378 226.851
170 10.17 1.03918 231.075
171 10.23 1.04332 235.365
172 10.29 1.0345 239.669
173 10.35 1.02943 244.002
174 10.41 1.02061 248.348
175 10.47 1.02417 252.76
176 10.53 1.02181 257.212
177 10.59 1.01702 261.694
178 10.65 1.01349 266.211
179 10.71 1.00217 270.728
180 10.77 0.994853 275.262
181 10.83 0.981821 279.787
182 10.89 0.987985 284.391
183 10.95 0.987715 289.045
184 11.01 0.970303 293.667
185 11.07 0.974765 298.36
186 11.13 0.971105 303.087
187 11.19 0.968442 307.852
188 11.25 0.982228 312.737
189 11.31 0.975416 317.64
190 11.37 0.969243 322.564
191 11.43 0.988547 327.638
192 11.49 0.976592 332.705
193 11.55 0.980054 337.842
194 11.61 0.98683 343.069
195 11.67 0.984482 348.337
196 11.73 0.993006 353.706
197 11.79 0.981241 359.066
198 11.85 1.00649 364.619
199 11.91 1.0033 370.211
200 11.97 1.0046 375.867
54000 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0 0
38 2.25 0 0
39 2.31 0.00763033 0.0016
40 2.37 0.0598034 0.0148
41 2.43 0.262024 0.0756
42 2.49 0.698573 0.2458
43 2.55 1.42297 0.6094
44 2.61 2.13757 1.1816
45 2.67 2.54948 1.8958
46 2.73 2.87912 2.739
47 2.79 2.94362 3.6394
48 2.85 2.67624 4.4936
49 2.91 2.4949 5.3238
50 2.97 2.26068 6.1074
51 3.03 1.87877 6.7852
52 3.09 1.70417 7.4246
53 3.15 1.44752 7.989
54 3.21 1.28179 8.508
55 3.27 1.12951 8.9826
56 3.33 0.988661 9.4134
57 3.39 0.930502 9.8336
58 3.45 0.830855 10.2222
59 3.51 0.759316 10.5898
60 3.57 0.716436 10.9486
61 3.63 0.673636 11.2974
62 3.69 0.625368 11.632
63 3.75 0.631214 11.9808
64 3.81 0.592206 12.3186
65 3.87 0.565489 12.6514
66 3.93 0.583286 13.0054
67 3.99 0.580902 13.3688
68 4.05 0.619672 13.7682
69 4.11 0.605026 14.1698
70 4.17 0.602669 14.5816
71 4.23 0.638033 15.0302
72 4.29 0.680323 15.5222
