# Time-averaged data for fix rdf3_out
# TimeStep Number-of-rows
# Row c_rdf3[1] c_rdf3[2] c_rdf3[3]
370000 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0.00941995 0.00207407
28 2.2 0.0604507 0.0164074
29 2.28 0.183321 0.0630926
30 2.36 0.397931 0.171667
31 2.44 0.754694 0.391778
32 2.52 1.36448 0.816259
33 2.6 1.93189 1.45602
34 2.68 2.1024 2.19574
35 2.76 2.15826 3.00113
36 2.84 2.06098 3.81544
37 2.92 1.87459 4.59843
38 3 1.67724 5.33789
39 3.08 1.50832 6.03881
40 3.16 1.37992 6.71381
41 3.24 1.24445 7.35376
42 3.32 1.13533 7.96678
43 3.4 1.03345 8.552
44 3.48 0.987266 9.13769
45 3.56 0.927496 9.7135
46 3.64 0.889345 10.2907
47 3.72 0.8479 10.8655
48 3.8 0.81022 11.4386
49 3.88 0.803547 12.0312
50 3.96 0.801761 12.6471
51 4.04 0.804441 13.2902
52 4.12 0.799584 13.9551
53 4.2 0.800747 14.647
54 4.28 0.812739 15.3763
55 4.36 0.824971 16.1445
56 4.44 0.844067 16.9596
57 4.52 0.864525 17.8248
58 4.6 0.892603 18.75
59 4.68 0.910349 19.7267
60 4.76 0.941258 20.7714
61 4.84 0.966674 21.8807
62 4.92 0.993981 23.0593
63 5 1.01773 24.3056
64 5.08 1.04212 25.623
65 5.16 1.05682 27.0013
66 5.24 1.08255 28.4574
67 5.32 1.08999 29.9685
68 5.4 1.09937 31.5389
69 5.48 1.09782 33.1538
70 5.56 1.09341 34.8095
71 5.64 1.09256 36.5119
72 5.72 1.08551 38.2517
73 5.8 1.07255 40.0191
74 5.88 1.06518 41.8231
75 5.96 1.05345 43.6561
76 6.04 1.03981 45.5142
77 6.12 1.02894 47.402
78 6.2 1.0139 49.3111
79 6.28 1.00805 51.2586
80 6.36 0.995685 53.2314
81 6.44 0.989424 55.2415
82 6.52 0.968414 57.2581
83 6.6 0.958966 59.3043
84 6.68 0.956163 61.3943
85 6.76 0.953231 63.528
86 6.84 0.945173 65.6941
87 6.92 0.941272 67.9021
88 7 0.946845 70.1747
89 7.08 0.951498 72.511
90 7.16 0.952308 74.9025
91 7.24 0.955352 77.3555
92 7.32 0.963745 79.885
93 7.4 0.975999 82.503
94 7.48 0.978086 85.1836
95 7.56 0.987923 87.9495
96 7.64 1.00068 90.8106
97 7.72 1.0114 93.7633
98 7.8 1.02014 96.8035
99 7.88 1.02451 99.9197
100 7.96 1.02911 103.114
370400 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0.00941995 0.00207407
28 2.2 0.0610755 0.0165556
29 2.28 0.179612 0.0622963
30 2.36 0.404447 0.172648
31 2.44 0.76625 0.39613
32 2.52 1.37276 0.823185
33 2.6 1.92104 1.45935
34 2.68 2.08997 2.1947
35 2.76 2.15524 2.99896
36 2.84 2.07518 3.81889
37 2.92 1.88736 4.6072
38 3 1.67178 5.34426
39 3.08 1.52008 6.05065
40 3.16 1.36898 6.7203
41 3.24 1.23574 7.35576
42 3.32 1.12402 7.96267
43 3.4 1.03322 8.54776
44 3.48 0.969223 9.12274
45 3.56 0.938354 9.7053
46 3.64 0.888632 10.2821
47 3.72 0.845578 10.8553
48 3.8 0.812734 11.4301
49 3.88 0.80538 12.0241
50 3.96 0.802556 12.6406
51 4.04 0.797168 13.2779
52 4.12 0.804974 13.9473
53 4.2 0.808805 14.6461
54 4.28 0.820375 15.3823
55 4.36 0.82167 16.1474
56 4.44 0.842954 16.9614
57 4.52 0.867097 17.8292
58 4.6 0.887976 18.7496
59 4.68 0.915769 19.7321
60 4.76 0.941208 20.7768
61 4.84 0.969837 21.8897
62 4.92 0.986641 23.0596
63 5 1.02307 24.3124
64 5.08 1.04516 25.6336
65 5.16 1.06545 27.0233
66 5.24 1.08206 28.4786
67 5.32 1.08558 29.9837
68 5.4 1.09564 31.5487
69 5.48 1.09398 33.1579
70 5.56 1.09113 34.8102
71 5.64 1.08706 36.5041
72 5.72 1.08786 38.2476
73 5.8 1.07457 40.0183
74 5.88 1.06382 41.82
75 5.96 1.05192 43.6504
