# Time-averaged data for fix 5
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
110000 100
46 3.64 0.708858 11.2902
47 3.72 0.678219 11.7881
48 3.8 0.659319 12.2932
49 3.88 0.677349 12.8342
50 3.96 0.714501 13.4286
51 4.04 0.73944 14.0689
52 4.12 0.75532 14.749
53 4.2 0.772652 15.4721
54 4.28 0.795204 16.2449
55 4.36 0.81341 17.0651
56 4.44 0.836918 17.9404
57 4.52 0.871064 18.8845
58 4.6 0.897516 19.892
59 4.68 0.93287 20.9759
60 4.76 0.947412 22.1147
61 4.84 0.98089 23.3337
62 4.92 1.00594 24.6255
63 5 1.03539 25.9986
64 5.08 1.06882 27.4619
65 5.16 1.11338 29.0345
66 5.24 1.14772 30.7063
67 5.32 1.18934 32.492
68 5.4 1.20687 34.359
69 5.48 1.21372 36.2926
70 5.56 1.19467 38.2518
71 5.64 1.16459 40.217
72 5.72 1.13298 42.1835
73 5.8 1.0948 44.1373
74 5.88 1.05442 46.0713
75 5.96 1.0331 48.0181
76 6.04 1.01111 49.9749
77 6.12 0.986441 51.9349
78 6.2 0.982435 53.9383
79 6.28 0.971116 55.9701
80 6.36 0.97323 58.0585
81 6.44 0.958308 60.1669
82 6.52 0.932866 62.2706
83 6.6 0.91575 64.3868
84 6.68 0.911478 66.5444
85 6.76 0.907732 68.745
86 6.84 0.906843 70.9957
87 6.92 0.904542 73.2936
88 7 0.899772 75.6325
89 7.08 0.90773 78.0463
90 7.16 0.909784 80.5206
91 7.24 0.926318 83.0964
92 7.32 0.943577 85.7785
93 7.4 0.951334 88.5421
94 7.48 0.977207 91.4426
95 7.56 0.988279 94.439
96 7.64 1.01561 97.5838
97 7.72 1.03662 100.861
98 7.8 1.0593 104.28
99 7.88 1.07873 107.834
100 7.96 1.09926 111.529
130000 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0 0
28 2.2 0 0
29 2.28 0.000671453 0.000185185
30 2.36 0.0083352 0.00264815
31 2.44 0.0872398 0.0302037
32 2.52 0.623532 0.240278
33 2.6 2.01663 0.963519
34 2.68 2.79736 2.02944
35 2.76 3.27619 3.35346
36 2.84 3.10925 4.68391
37 2.92 2.55169 5.83815
38 3 1.95619 6.77217
39 3.08 1.53768 7.54604
40 3.16 1.27544 8.2217
41 3.24 1.06709 8.81598
42 3.32 0.897053 9.34054
43 3.4 0.785463 9.82224
44 3.48 0.736911 10.2957
45 3.56 0.720884 10.7804
46 3.64 0.710939 11.2801
47 3.72 0.685458 11.7833
48 3.8 0.665314 12.293
49 3.88 0.679923 12.836
50 3.96 0.71922 13.4343
51 4.04 0.742477 14.0772
52 4.12 0.751022 14.7535
53 4.2 0.780904 15.4843
54 4.28 0.7981 16.2599
55 4.36 0.815209 17.082
56 4.44 0.840637 17.9611
57 4.52 0.860403 18.8937
58 4.6 0.89844 19.9022
59 4.68 0.922686 20.9743
60 4.76 0.952866 22.1196
61 4.84 0.976688 23.3334
62 4.92 1.01233 24.6334
63 5 1.03848 26.0107
64 5.08 1.06452 27.468
65 5.16 1.10656 29.031
66 5.24 1.14688 30.7016
67 5.32 1.18792 32.4852
68 5.4 1.20517 34.3495
69 5.48 1.20809 36.2741
70 5.56 1.1883 38.2229
71 5.64 1.1639 40.1869
72 5.72 1.13326 42.1539
73 5.8 1.09524 44.1085
74 5.88 1.058 46.049
75 5.96 1.03833 48.0057
76 6.04 1.01273 49.9656
77 6.12 0.993813 51.9403
78 6.2 0.982235 53.9433
79 6.28 0.975258 55.9837
80 6.36 0.974584 58.075
81 6.44 0.960429 60.1881
82 6.52 0.934188 62.2949
83 6.6 0.914475 64.4081
84 6.68 0.917017 66.5788
85 6.76 0.914111 68.7948
86 6.84 0.907254 71.0466
87 6.92 0.901021 73.3355
88 7 0.896367 75.6655
89 7.08 0.901741 78.0634
90 7.16 0.910642 80.54
91 7.24 0.918286 83.0935
92 7.32 0.933472 85.7469
93 7.4 0.953616 88.5172
94 7.48 0.972509 91.4037
95 7.56 0.991969 94.4113
96 7.64 1.01278 97.5474
97 7.72 1.03776 100.828
98 7.8 1.05828 104.244
99 7.88 1.08094 107.805
100 7.96 1.09922 111.5
135000 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0 0
28 2.2 7.21169e-05 1.85185e-05
29 2.28 0.000402872 0.00012963
30 2.36 0.00802185 0.0025
31 2.44 0.0874743 0.0301296
32 2.52 0.624302 0.240463
33 2.6 2.00238 0.958593
34 2.68 2.79357 2.02307
35 2.76 3.3041 3.35837
36 2.84 3.10219 4.6858
37 2.92 2.54055 5.835
38 3 1.95313 6.76756
39 3.08 1.54824 7.54674
40 3.16 1.27586 8.22263
41 3.24 1.06616 8.81639
42 3.32 0.899365 9.3423
43 3.4 0.792378 9.82824
44 3.48 0.747115 10.3082
45 3.56 0.719369 10.7919
46 3.64 0.712335 11.2926
47 3.72 0.680716 11.7924
48 3.8 0.658642 12.2969
49 3.88 0.678416 12.8387
50 3.96 0.714768 13.4334
51 4.04 0.732211 14.0674
52 4.12 0.752709 14.7452
53 4.2 0.772751 15.4683
54 4.28 0.790935 16.2369
55 4.36 0.819433 17.0633
56 4.44 0.849366 17.9516
57 4.52 0.866417 18.8906
58 4.6 0.892402 19.8924
59 4.68 0.92573 20.968
60 4.76 0.954961 22.1159
61 4.84 0.98162 23.3358
62 4.92 1.00686 24.6287
63 5 1.03429 26.0005
64 5.08 1.06431 27.4575
65 5.16 1.11592 29.0338
66 5.24 1.15094 30.7102
67 5.32 1.19135 32.499
68 5.4 1.2064 34.3652
69 5.48 1.20739 36.2887
70 5.56 1.18585 38.2334
71 5.64 1.17312 40.2131
72 5.72 1.13475 42.1827
73 5.8 1.08941 44.1268
74 5.88 1.05746 46.0664
75 5.96 1.03327 48.0135
76 6.04 1.01257 49.9731
77 6.12 0.990812 51.9418
78 6.2 0.97981 53.9399
79 6.28 0.972302 55.9741
80 6.36 0.972289 58.0605
81 6.44 0.959351 60.1712
82 6.52 0.929696 62.2678
83 6.6 0.917048 64.387
84 6.68 0.918081 66.5603
85 6.76 0.910322 68.7671
86 6.84 0.904284 71.0115
87 6.92 0.903092 73.3056
88 7 0.903662 75.6546
89 7.08 0.904387 78.0596
90 7.16 0.912495 80.5412
91 7.24 0.922622 83.1068
92 7.32 0.936801 85.7696
93 7.4 0.951908 88.5349
94 7.48 0.971667 91.4189
95 7.56 0.995371 94.4369
96 7.64 1.01109 97.5677
97 7.72 1.03649 100.845
98 7.8 1.05499 104.25
99 7.88 1.08173 107.813
100 7.96 1.10078 111.513
140000 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0 0
28 2.2 7.21169e-05 1.85185e-05
29 2.28 0.000470017 0.000148148
30 2.36 0.00858589 0.00268519
31 2.44 0.0831944 0.028963
32 2.52 0.61886 0.237463
33 2.6 2.00868 0.957852
34 2.68 2.79634 2.02339
35 2.76 3.27266 3.34598
36 2.84 3.11102 4.67719
37 2.92 2.55095 5.83109
38 3 1.95782 6.76589
39 3.08 1.56406 7.55304
40 3.16 1.2875 8.23509
41 3.24 1.07357 8.83298
42 3.32 0.902532 9.36074
43 3.4 0.782474 9.84061
44 3.48 0.734231 10.3123
45 3.56 0.71689 10.7943
46 3.64 0.710386 11.2937
47 3.72 0.6789 11.7921
48 3.8 0.657675 12.2959
49 3.88 0.680387 12.8393
50 3.96 0.707 13.4274
51 4.04 0.736553 14.0652
52 4.12 0.755238 14.7453
53 4.2 0.766992 15.4631
54 4.28 0.792993 16.2337
55 4.36 0.817523 17.0581
56 4.44 0.842744 17.9395
57 4.52 0.863478 18.8754
58 4.6 0.901509 19.8873
59 4.68 0.925013 20.9621
60 4.76 0.959706 22.1157
61 4.84 0.978089 23.3312
62 4.92 1.00536 24.6222
63 5 1.0363 25.9966
64 5.08 1.06838 27.4593
65 5.16 1.11542 29.0348
66 5.24 1.15365 30.7152
67 5.32 1.18876 32.5001
68 5.4 1.20702 34.3672
69 5.48 1.21533 36.3034
70 5.56 1.18675 38.2496
71 5.64 1.17238 40.228
72 5.72 1.12824 42.1863
73 5.8 1.09566 44.1416
74 5.88 1.05962 46.0851
75 5.96 1.03194 48.0297
76 6.04 1.00623 49.9771
77 6.12 0.990262 51.9447
78 6.2 0.983125 53.9495
79 6.28 0.971408 55.9819
80 6.36 0.966498 58.0558
81 6.44 0.958425 60.1645
82 6.52 0.931519 62.2652
83 6.6 0.911751 64.3721
84 6.68 0.911205 66.5291
85 6.76 0.912125 68.7404
86 6.84 0.909074 70.9966
87 6.92 0.906503 73.2995
88 7 0.904147 75.6497
89 7.08 0.907758 78.0636
90 7.16 0.911854 80.5435
91 7.24 0.92159 83.1062
92 7.32 0.93172 85.7546
93 7.4 0.953502 88.5245
94 7.48 0.970375 91.4047
95 7.56 0.993422 94.4167
96 7.64 1.01325 97.5542
97 7.72 1.03575 100.829
98 7.8 1.05617 104.238
99 7.88 1.08977 107.828
100 7.96 1.10689 111.548
145000 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0 0
28 2.2 0 0
29 2.28 0.000872889 0.000240741
30 2.36 0.00965129 0.00309259
31 2.44 0.0842497 0.0297037
32 2.52 0.613308 0.236333
33 2.6 2.02081 0.961074
34 2.68 2.81049 2.032
35 2.76 3.28187 3.35831
36 2.84 3.08895 4.68007
37 2.92 2.52798 5.82359
38 3 1.97636 6.76724
39 3.08 1.57021 7.55748
40 3.16 1.26051 8.22524
41 3.24 1.06343 8.81748
42 3.32 0.900473 9.34404
43 3.4 0.78957 9.82826
44 3.48 0.74086 10.3042
45 3.56 0.730441 10.7954
46 3.64 0.713916 11.2972
47 3.72 0.686039 11.8008
48 3.8 0.653372 12.3013
49 3.88 0.670787 12.8371
50 3.96 0.714323 13.4313
51 4.04 0.726608 14.0605
52 4.12 0.761284 14.746
53 4.2 0.775205 15.4714
54 4.28 0.790687 16.2398
55 4.36 0.813704 17.0604
56 4.44 0.842035 17.941
57 4.52 0.868946 18.8828
58 4.6 0.899677 19.8928
59 4.68 0.924248 20.9667
60 4.76 0.957041 22.117
61 4.84 0.980413 23.3354
62 4.92 1.01328 24.6366
63 5 1.03121 26.0043
64 5.08 1.07316 27.4734
65 5.16 1.1056 29.0351
66 5.24 1.1496 30.7096
67 5.32 1.18643 32.491
68 5.4 1.20433 34.354
69 5.48 1.20956 36.281
70 5.56 1.19377 38.2387
71 5.64 1.1651 40.2048
72 5.72 1.1353 42.1753
73 5.8 1.09756 44.134
74 5.88 1.057 46.0727
75 5.96 1.03251 48.0184
76 6.04 1.00466 49.9628
77 6.12 0.987811 51.9255
78 6.2 0.986049 53.9363
79 6.28 0.978887 55.9843
80 6.36 0.969665 58.065
81 6.44 0.963433 60.1847
82 6.52 0.930123 62.2823
83 6.6 0.914532 64.3956
84 6.68 0.909922 66.5496
85 6.76 0.914989 68.7677
86 6.84 0.906627 71.0179
87 6.92 0.903296 73.3126
88 7 0.900905 75.6545
89 7.08 0.901831 78.0526
90 7.16 0.907061 80.5194
91 7.24 0.920764 83.0798
92 7.32 0.940521 85.7533
93 7.4 0.954509 88.5261
94 7.48 0.971991 91.4111
95 7.56 0.996891 94.4336
96 7.64 1.01465 97.5755
97 7.72 1.03582 100.85
