# Step Temp Press PE KE TotEng Vol Density
110102 293.47403541964899887 121.33106286618497904 -301008.18412668991368 4096.8876736881566103 -296911.29645300173433 2045255.3085077048745 6.1136609735998854731
110103 293.47154191425590852 6.6734853241208771379 -301008.1365921596298 4096.8528644366506342 -296911.28372772299917 2045255.3085077048745 6.1136609735998854731
110104 293.46723477270990088 157.20524225084264458 -301008.12053412594832 4096.7927368853888765 -296911.32779724057764 2045255.3085077048745 6.1136609735998854731
110105 293.45671665463879663 111.9810358037475595 -301008.1143606720143 4096.6459043105269302 -296911.46845636150101 2045255.3085077048745 6.1136609735998854731
110106 293.44169288252777505 125.18822947753865549 -301008.08174968900857 4096.4361729566580834 -296911.64557673234958 2045255.3085077048745 6.1136609735998854731
110107 293.43131849512190001 216.68232249072053719 -301008.07782354851952 4096.2913468570532132 -296911.78647669148631 2045255.3085077048745 6.1136609735998854731
110108 293.42089998926428507 108.45782954172959478 -301008.04175213794224 4096.1459048653441641 -296911.89584727259353 2045255.3085077048745 6.1136609735998854731
110109 293.40802791528977878 102.53666737319100832 -301007.98220583947841 4095.9662111451634701 -296912.01599469431676 2045255.3085077048745 6.1136609735998854731
110110 293.3934254946871647 23.604844798799291539 -301007.89462051418377 4095.7623618441944018 -296912.1322586699971 2045255.3085077048745 6.1136609735998854731
110111 293.38092651725054338 71.29237158666786911 -301007.88471057423158 4095.5878765391466914 -296912.29683403507806 2045255.3085077048745 6.1136609735998854731
110112 293.37076783329013097 170.21740440581024245 -301007.85082616866566 4095.4460616523924728 -296912.4047645162791 2045255.3085077048745 6.1136609735998854731
110113 293.36135827533189513 174.8417396154411847 -301007.7430258753011 4095.3147045394580346 -296912.42832133581396 2045255.3085077048745 6.1136609735998854731
110114 293.35141987580016121 102.82990620470128817 -301007.66805286414456 4095.1759648159263634 -296912.492088048195 2045255.3085077048745 6.1136609735998854731
110115 293.34017511868194106 274.36911791754562273 -301007.59819299692754 4095.0189883843818279 -296912.57920461252797 2045255.3085077048745 6.1136609735998854731
110116 293.32702655170635353 124.60534393285885812 -301007.49192178831436 4094.8354348311963804 -296912.65648695710115 2045255.3085077048745 6.1136609735998854731
110117 293.31189302481982395 162.06736161478096392 -301007.4017821981106 4094.6241713043491472 -296912.77761089376872 2045255.3085077048745 6.1136609735998854731
110118 293.29948416018692114 83.288433332923020203 -301007.34999341866933 4094.4509439710132028 -296912.89904944767477 2045255.3085077048745 6.1136609735998854731
110119 293.28931764167822394 194.64713716526969733 -301007.28504564543255 4094.3090197142282705 -296912.97602593118791 2045255.3085077048745 6.1136609735998854731
110120 293.28007193810179842 170.518688826524766 -301007.21666314615868 4094.1799500029583214 -296913.03671314322855 2045255.3085077048745 6.1136609735998854731
110121 293.27587884140842789 95.753567886674986198 -301007.16555425035767 4094.1214145140074834 -296913.044139736332 2045255.3085077048745 6.1136609735998854731
110122 293.26781504570635661 88.2211120723064397 -301007.03950471134158 4094.0088441969514861 -296913.03066051437054 2045255.3085077048745 6.1136609735998854731
110123 293.25647113506857977 132.47679030680654932 -301007.00306025880855 4093.8504835856051614 -296913.15257667319383 2045255.3085077048745 6.1136609735998854731
110124 293.24319858879681533 101.74332407647719378 -301006.99389298958704 4093.6651992856109246 -296913.32869370398112 2045255.3085077048745 6.1136609735998854731
110125 293.22552960391368515 105.53312683822305473 -301006.90992720180657 4093.4185408503226427 -296913.49138635146664 2045255.3085077048745 6.1136609735998854731
110126 293.20410261155757325 168.6977839933118446 -301006.87089751171879 4093.1194207569815262 -296913.75147675472545 2045255.3085077048745 6.1136609735998854731
110127 293.1877161960593412 125.32524346241979174 -301006.80350994603941 4092.8906669472121393 -296913.91284299880499 2045255.3085077048745 6.1136609735998854731
110128 293.1785473370682098 105.91514135250231732 -301006.73592246579938 4092.7626699837710476 -296913.97325248201378 2045255.3085077048745 6.1136609735998854731
